BASE_YM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,SIGNGU_ACCTO_FCLTY_CO,SIGNGU_ACCTO_POPLTN_CO,PSNBY_FCLTY_CO,PSNBY_FCL_CO_RANK_CO
"202009","1100000000","서울특별시","1132000000","도봉구","98","327248","0.00030","164"
"202009","1100000000","서울특별시","1135000000","노원구","88","525486","0.00017","193"
"202009","1100000000","서울특별시","1138000000","은평구","38","481546","0.00008","217"
"202009","1100000000","서울특별시","1141000000","서대문구","47","313212","0.00015","200"
"202009","1100000000","서울특별시","1144000000","마포구","120","373508","0.00032","157"
"202009","1100000000","서울특별시","1147000000","양천구","27","456240","0.00006","225"
"202009","1100000000","서울특별시","1150000000","강서구","89","583544","0.00015","199"
"202009","1100000000","서울특별시","1153000000","구로구","50","405579","0.00012","204"
"202009","1100000000","서울특별시","1154500000","금천구","43","232157","0.00019","186"
"202009","1100000000","서울특별시","1156000000","영등포구","79","375630","0.00021","179"
"202009","1100000000","서울특별시","1159000000","동작구","66","393554","0.00017","192"
"202009","1100000000","서울특별시","1162000000","관악구","21","498574","0.00004","229"
"202009","1100000000","서울특별시","1165000000","서초구","204","426009","0.00048","130"
"202009","1100000000","서울특별시","1168000000","강남구","165","539235","0.00031","162"
"202009","1100000000","서울특별시","1171000000","송파구","46","670331","0.00007","221"
"202009","1100000000","서울특별시","1174000000","강동구","28","458058","0.00006","224"
"202009","2600000000","부산광역시","2611000000","중구","13","41593","0.00031","160"
"202009","2600000000","부산광역시","2614000000","서구","47","107689","0.00044","137"
"202009","2600000000","부산광역시","2617000000","동구","66","89410","0.00074","98"
"202009","2600000000","부산광역시","2620000000","영도구","44","114252","0.00039","149"
"202009","2600000000","부산광역시","2623000000","부산진구","31","357558","0.00009","216"
"202009","2600000000","부산광역시","2626000000","동래구","37","271980","0.00014","201"
"202009","2600000000","부산광역시","2629000000","남구","85","269251","0.00032","159"
"202009","2600000000","부산광역시","2632000000","북구","71","286327","0.00025","174"
"202009","2600000000","부산광역시","2635000000","해운대구","81","402749","0.00020","183"
"202009","2600000000","부산광역시","2638000000","사하구","52","314728","0.00017","195"
"202009","2600000000","부산광역시","2641000000","금정구","69","234135","0.00029","165"
"202009","2600000000","부산광역시","2644000000","강서구","181","135330","0.00134","72"
"202009","2600000000","부산광역시","2647000000","연제구","35","210362","0.00017","194"
"202009","2600000000","부산광역시","2650000000","수영구","76","177266","0.00043","139"
"202009","2600000000","부산광역시","2653000000","사상구","102","214345","0.00048","131"
"202009","2600000000","부산광역시","2671000000","기장군","125","172774","0.00072","101"
"202009","2700000000","대구광역시","2711000000","중구","34","77030","0.00044","136"
"202009","2700000000","대구광역시","2714000000","동구","83","343233","0.00024","176"
"202009","2700000000","대구광역시","2717000000","서구","89","171947","0.00052","128"
"202009","2700000000","대구광역시","2720000000","남구","57","146864","0.00039","148"
"202009","2700000000","대구광역시","2723000000","북구","136","440500","0.00031","161"
"202009","2700000000","대구광역시","2726000000","수성구","57","425949","0.00013","202"
"202009","2700000000","대구광역시","2729000000","달서구","202","562972","0.00036","152"
"202009","2700000000","대구광역시","2771000000","달성군","156","258354","0.00060","116"
"202009","2800000000","인천광역시","2811000000","중구","22","139299","0.00016","196"
"202009","2800000000","인천광역시","2814000000","동구","48","62957","0.00076","96"
"202009","2800000000","인천광역시","2817700000","미추홀구","121","403500","0.00030","163"
"202009","2800000000","인천광역시","2818500000","연수구","46","380980","0.00012","208"
"202009","2800000000","인천광역시","2820000000","남동구","48","527515","0.00009","215"
